experiment_id,variant,success,error,response,willingness_to_pay,offer,config_business_type,config_clients_per_month,config_average_contract_value,config_additional_clients_from_software,config_admin_time_percentage,config_client_name,config_agent_name,config_vendor_name,config_software_type
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"$300, $200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"$600, $400",600.0,400.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Wei Chen_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"300, 250",300.0,250.0,marketing consultant for small businesses in the US,20,200,1,10,Wei Chen,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,True,,"300, 200",300.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,True,,"250, 200",250.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,True,,"250, 200",250.0,200.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_with_personhood,True,,"150, 120",150.0,120.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,True,,"2300, 1800",2300.0,1800.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=200_additional_clients_from_software=1_admin_time_percentage=10_client_name=Fatima Al-Rahman_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,True,,"800, 600",800.0,600.0,marketing consultant for small businesses in the US,20,200,1,10,Fatima Al-Rahman,NegotiationAgentZero,John Smith,CRM software
