experiment_id,variant,repetition,success,error,response,willingness_to_pay,offer,config_business_type,config_clients_per_month,config_average_contract_value,config_additional_clients_from_software,config_admin_time_percentage,config_client_name,config_agent_name,config_vendor_name,config_software_type
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,1,True,,5000 3500,5000.0,3500.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,1,True,,5000 3000,5000.0,3000.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,1,True,,5000 3000,5000.0,3000.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,1,True,,5000 3000,5000.0,3000.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,2,True,,"5000, 3000",5000.0,3000.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,2,True,,1000 800,1000.0,800.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,2,True,,500 300,500.0,300.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,2,True,,"1000, 800",1000.0,800.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,2,True,,1000 800,1000.0,800.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,2,True,,1000 750,1000.0,750.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,2,True,,"3000, 2500",3000.0,2500.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,2,True,,"3000, 2000",3000.0,2000.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,2,True,,3000 2500,3000.0,2500.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,2,True,,500 400,500.0,400.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,2,True,,5000 4000,5000.0,4000.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,2,True,,5000 3500,5000.0,3500.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,2,True,,1000000 50000,1000000.0,50000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,2,True,,30000 25000,30000.0,25000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,2,True,,10000 8000,10000.0,8000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,2,True,,5000 3000,5000.0,3000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,2,True,,20000 15000,20000.0,15000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,2,True,,5000 3000,5000.0,3000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,2,True,,"50000, 30000",50000.0,30000.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,2,True,,2000000 1500000,2000000.0,1500000.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,2,True,,5000 3500,5000.0,3500.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,2,True,,5000 3500,5000.0,3500.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,2,True,,5000 3500,5000.0,3500.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=20000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,2,True,,5000 3000,5000.0,3000.0,marketing consultant for small businesses in the US,20,20000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,3,True,,2000 1500,2000.0,1500.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,3,True,,1000 800,1000.0,800.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,3,True,,"5000, 3500",5000.0,3500.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,3,True,,500 350,500.0,350.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,3,True,,500 400,500.0,400.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=10_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,3,True,,1500 1200,1500.0,1200.0,marketing consultant for small businesses in the US,20,10,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,3,True,,"2000, 1500",2000.0,1500.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,3,True,,"5000, 3000",5000.0,3000.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,3,True,,"5000, 4000",5000.0,4000.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,3,True,,"2000, 1500",2000.0,1500.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,3,True,,3000 2500,3000.0,2500.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,3,True,,3000 2500,3000.0,2500.0,marketing consultant for small businesses in the US,20,1000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_no_law_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_no_law,3,True,,50000 30000,50000.0,30000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
self_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,self_with_personhood,3,True,,1000000 50000,1000000.0,50000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human,3,True,,"5000, 3500",5000.0,3500.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_with_personhood_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_with_personhood,3,True,,"5000, 3000",5000.0,3000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_human_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_human_company,3,True,,5000 3000,5000.0,3000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
on_behalf_agent_company_business_type=marketing consultant for small businesses in the US_clients_per_month=20_average_contract_value=1000000_additional_clients_from_software=1000_admin_time_percentage=10_client_name=Consulting Company LLC_agent_name=NegotiationAgentZero_vendor_name=John Smith_software_type=CRM software,on_behalf_agent_company,3,True,,5000 4000,5000.0,4000.0,marketing consultant for small businesses in the US,20,1000000,1000,10,Consulting Company LLC,NegotiationAgentZero,John Smith,CRM software
